TV,Internet,Mailing,Members,Region
469,6.8,169.6,23.8,Central
35.8,75.2,43.2,16,Central
413.6,10.4,38.8,24.4,South
430.8,47.2,115.2,34.2,West
568.6,21.2,12.8,30,South
100,23.2,36.8,16.8,South
329,41.8,94.8,29,Central
39.2,40.2,34,15.2,East
336.8,14.2,25.6,23.4,West
444.8,6.8,26.2,23,West
553.8,97.8,83.6,54,West
496.8,60.4,40.6,40.4,South
340.4,15.6,70.4,23.4,Central
553.4,4.6,47.4,23.6,Central
331.2,20,35.2,25.2,South
313.2,5.2,16.6,21,South
437,10.8,54.8,24.4,West
112.4,11.4,59.4,17.4,South
575.2,86,143.6,52.4,East
507.6,42.6,60,35.2,West
410,90.2,39.2,45.2,East
279,4.2,53.2,20.6,South
382.2,57.4,36.4,34.6,East
572,27.8,7.4,31.8,East
37.4,24.2,46.8,13.4,Central
79,82.2,11.6,21.6,East
151,21.6,12,19.8,West
34.4,8.2,63.2,11.8,East
333.6,84,7.2,39.2,Central
299.4,71.2,12,34.6,South
76.4,7.4,27.6,15.2,South
188.4,9.8,16.2,19.4,East
354,18.6,12.8,25.6,East
567.2,84,132.4,51,South
464.2,17.2,17.4,26.8,Central
